GRAND,NAME,RIVER,STATE,YEAR,HEIGHT,LEN,AREA_SKM,CAP_MCM,DIS_AVG_LS,MAIN_USE,QUALITY,LONG,LAT
7317,Tims Ford,Elk River,Tennessee,1970,53,482,38.04,750,27094,Flood control,2: Good,-86.276254,35.197234
7318,Cordell Hull Dam,Cumberland River,Tennessee,1973,28,398,42,383.5,343541,Hydroelectricity,2: Good,-85.944131,36.29222
7319,Merwin,Lewis River,Washington,1931,95,381,14.61,520.5,93726,Hydroelectricity,2: Good,-122.555376,45.957492
7313,Canyon Ferry Dam,Missouri River,Montana,1953,69,305,138.44,2529.9,167309,Hydroelectricity,2: Good,-111.727374,46.648333
7314,Moore Dam,Connecticut River,New Hampshire,1957,54,890,12.69,276,94416,Hydroelectricity,2: Good,-71.872877,44.334693
7315,Atoka,North Boggy Creek,Oklahoma,1957,24,122,22.97,277.5,4283,Water supply,2: Good,-96.084765,34.447148
7316,Sardis Lake,Jackfork Creek,Oklahoma,1982,25,4309,58.52,907.6,7228,Flood control,2: Good,-95.350711,34.629812
7309,Salmon Falls Dam,Salmon Falls Creek,Idaho,1911,66,137,12.16,284.5,16442,Water supply,2: Good,-114.732811,42.210407
7306,Wilson,Tennessee River,Alabama,1924,42,1384,60.95,789.7,1860049,Hydroelectricity,2: Good,-87.623433,34.79871
7307,New Waddell Dam,Agua Fria,Arizona,1992,134,1433,35.33,1311.4,6606,Water supply,2: Good,-112.273803,33.849176
7308,Richard B. Russell Dam,Savannah River,Georgia,1986,59,1379,102.25,1835.6,146796,Hydroelectricity,2: Good,-82.600552,34.025484
7214,Ridges Basin,Animas,Colorado,2007,83,-99,5.6,148,58,Water supply,2: Good,-107.896538,37.219426
2257,Toa Vaca Dam,Toa Vaca,Puerto Rico,1972,66,530,2.1,67.7,858,Irrigation,2: Good,-66.485417,18.102083
2258,Carite,La Plata,Puerto Rico,1913,32,152,0.74,18.5,300,Hydroelectricity,2: Good,-66.104624,18.075557
2259,Patillas,Rio Grande de Patillas,Puerto Rico,1914,45,325,0.92,17,1244,Irrigation,2: Good,-66.021796,18.020136
2254,La Plata,La Plata,Puerto Rico,1974,40,236,0.99,34.5,5966,Water supply,2: Good,-66.234846,18.342362
2255,Dos Bocas,Rio Grande de Arecibo,Puerto Rico,1942,57,401,1.16,48.6,10077,Hydroelectricity,2: Good,-66.666237,18.333732
2256,Caonillas,Caonillas,Puerto Rico,1948,73,248,1.91,67.8,2622,Hydroelectricity,2: Good,-66.655099,18.275659
2252,Guajataca,Guajataca,Puerto Rico,1928,37,277,2.64,57.5,1853,Irrigation,2: Good,-66.922033,18.393849
2241,Manasquan Reservoir Dam,Timber Swamp Brook,New Jersey,1990,16,1475,2.76,22.8,191,Water supply,2: Good,-74.195024,40.181263
2205,Rio,Mongaup River,New York,1927,31,453,1.5,24.1,10652,Hydroelectricity,2: Good,-74.756506,41.480902
2206,Boyds Corner Dam,West Branch of Croton River,New York,1872,24,204,0.68,16.4,1289,Water supply,2: Good,-73.740381,41.451592
2207,Rocky River Main Dam,Rocky River,Connecticut,1929,33,290,20.31,269.7,2789,Hydroelectricity,2: Good,-73.449803,41.42665
2201,Merriman Dam,Roundout Creek,New York,1945,59,732,7.54,250.2,5721,Water supply,2: Good,-74.427292,41.802266
2202,Phelps Dam,Trib. Farmington River,Connecticut,1916,20,381,3.08,50,2417,Water supply,2: Good,-72.932315,41.798959
2203,Upper Shepaug Reservoir,West Branch of Shepaug River,Connecticut,1965,27,305,1.19,18.2,762,Water supply,2: Good,-73.302157,41.744727
2198,Richards Corner Dam,East Branch of Farmington River,Connecticut,1920,23,290,1,16.6,20801,Water supply,2: Good,-72.958447,41.8829
2199,Shenipsit Lake,Hockanum River,Connecticut,1903,8,21,1.84,10.7,1072,Water supply,2: Good,-72.431178,41.872476
2200,Neversink Reservoir Dam,Neversink River,New York,1953,58,914,4.14,175.2,5169,Water supply,2: Good,-74.641246,41.824554
2194,Diamond Hill Reservoir Dam,Burnt Swamp Brook,Rhode Island,1971,24,610,1.42,19.3,515,Water supply,2: Good,-71.397994,41.990736
2195,Ashokan Dam,Esopus Creek,New York,1916,65,1417,25.61,632.2,15455,Water supply,2: Good,-74.219881,41.9397
2192,Downsville Dam,East Branch of Delaware River,New York,1954,62,732,19.73,752.1,20799,Water supply,2: Good,-74.964201,42.076891
2185,Sudbury Dam,Sudbury Reservoir,Massachusetts,1896,26,610,4.41,40.7,1450,Water supply,2: Good,-71.492708,42.309469
2187,Sleepy Hollow Dam,Murderers Creek,New York,1972,25,229,1,16.7,519,Recreation,2: Good,-73.806431,42.282247
2181,Gilboa Dam,Schoharie Creek,New York,1926,56,693,3.91,117.9,17571,Water supply,2: Good,-74.44788,42.391821
2177,Alcove Dam,Hannacrois Creek,New York,1929,23,664,5.37,58.7,1674,Water supply,2: Good,-73.93126,42.472908
2178,Blenheim Lower Gilboa,Schoharie Creek,New York,1974,50,552,0.92,20.1,20141,Hydroelectricity,2: Good,-74.45634,42.4518
2179,Blenheim Upper Gilboa,Schoharie Creek,New York,1974,52,3627,1.17,22.8,13,Hydroelectricity,2: Good,-74.423966,42.44126
2180,Wachusett Reservoir Dam,Nashua River,Massachusetts,1906,35,434,16.41,282.5,7462,Water supply,2: Good,-71.689716,42.402072
2238,Spruce Run Reservoir Dam,Spruce Run,New Jersey,1964,28,1646,4.88,57.7,2302,Water supply,2: Good,-74.916446,40.645655
2239,Round Valley North Dike,Trib. South Branch of Rockaway River,New Jersey,1961,41,445,8.59,242.5,296,Water supply,2: Good,-74.84348,40.6119
2233,Split Rock Pond Dam,Beaver Brook,New Jersey,1948,12,149,2.06,11.7,251,Water supply,2: Good,-74.456209,40.964843
2234,Oradell Reservoir Dam,Hackensack River,New Jersey,1922,8,123,2.07,13.2,6151,Water supply,2: Good,-74.019747,40.958133
2229,Oak Ridge Reservoir Dam,Pequannock River,New Jersey,1892,18,389,1.59,18.5,1891,Water supply,2: Good,-74.501569,41.041143
2230,Charlotteburg Dam,Pequannock River,New Jersey,1961,31,206,1.2,12.8,3585,Water supply,2: Good,-74.424475,41.025418
2231,Lake Tappan Dam,Hackensack River,New Jersey,1966,10,180,3.57,13.1,3132,Water supply,2: Good,-74.000128,41.019753
2232,Point View Dam,Haycock Brook,New Jersey,1964,17,335,1.58,12.9,62,Recreation,2: Good,-74.252083,40.972916
2226,Clinton Reservoir Dam,Clinton Brook,New Jersey,1894,17,466,1.55,16.5,498,Water supply,2: Good,-74.448679,41.074483
2227,Kensico Dam,Bronx River,New York,1916,51,562,7.67,143.8,1516,Water supply,2: Good,-73.767188,41.07469
2228,Furnace Road Dam,Wanaque River,New Jersey,1928,5,223,8.33,37.5,5469,Water supply,2: Good,-74.295354,41.045305
2221,Easton Reservoir,Mill River,Connecticut,1926,37,317,1.67,44.4,961,Water supply,2: Good,-73.257563,41.249228
2222,New Croton Reservoir Dam,Croton River,New York,1906,43,371,10.09,118.4,24329,Water supply,2: Good,-73.854726,41.227776
2223,Greenwood Lake Dam,Wanaque River,New Jersey,1928,5,82,7.2,16.4,1670,Recreation,2: Good,-74.335451,41.164618
2224,Monksville Dam,Trib. Pompton River,New Jersey,1986,46,661,2.07,33.9,2444,Water supply,2: Good,-74.295638,41.124432
2217,Titicus Dam,Titicus River,New York,1895,33,463,2.34,31.5,1624,Water supply,2: Good,-73.646883,41.327035
2218,Amawalk Dam,Muscoot River,New York,1897,26,372,1.97,28.6,1323,Water supply,2: Good,-73.753403,41.290471
2219,Cross River Dam,Cross River,New York,1908,32,374,3.23,49,1880,Water supply,2: Good,-73.660376,41.264457
2214,Croton Falls Dam,West Branch of Croton River,New York,1910,30,326,3.77,61.4,4966,Water supply,2: Good,-73.667318,41.361048
2216,Lake Gaillard,Branford River,Connecticut,1929,29,311,3.73,66,406,Water supply,2: Good,-72.768184,41.340892
2209,Carmel Dam,West Branch of Croton River,New York,1895,26,468,3.56,52.2,2638,Water supply,2: Good,-73.707455,41.402143
2210,Sodom Dam,East Branch of Croton River,New York,1892,24,488,1.79,23.4,5712,Water supply,2: Good,-73.587689,41.400182
2211,Middle Branch Dam,Middle Branch of Croton River,New York,1878,29,187,1.54,19.9,1366,Water supply,2: Good,-73.6467,41.390897
2142,Woodhull Lake Dam,Trib. Sand Lake,New York,1853,8,155,4.19,14.3,1003,Navigation,2: Good,-74.988783,43.582896
2140,Newfound Lake,Newfound River,New Hampshire,1846,4,36,17.38,49.3,5537,Recreation,2: Good,-71.738564,43.620152
2134,Starbuckville Dam,Schroon River,New York,1982,13,220,21.87,32.9,24962,Recreation,2: Good,-73.766442,43.665751
2129,Indian Lake Stone Dam,Indian River,New York,1898,14,168,15.99,210,6879,Recreation,2: Good,-74.277711,43.754824
2131,Chittenden Reservoir,East Creek,Vermont,1901,21,295,2.55,27.2,829,Hydroelectricity,2: Good,-72.921597,43.724601
2120,Lake Auburn Dam,Bobbin Mill Brook,Maine,1946,5,24,8.89,41.9,1435,Water supply,2: Good,-70.22685,44.145353
2113,Setting Pole Rapids Dam,Raquette River,New York,1934,5,70,26.53,44.9,47204,Recreation,2: Good,-74.559375,44.230912
2115,Cranberry Lake,Oswegatchie River,New York,1917,6,105,24.63,74,9768,Hydroelectricity,2: Good,-74.846215,44.221454
2116,Gardiner Water District Dam,Cobbosseecontee Stream,Maine,1885,6,61,6.52,17.4,15758,Hydroelectricity,2: Good,-69.791356,44.219557
2172,Vernon,Connecticut River,New Hampshire,1909,58,956,4.69,66.6,334378,Hydroelectricity,2: Good,-72.486458,42.769515
2168,Tomhannock Reservoir Dam,Tomhannock Creek,New York,1905,21,213,6.5,69.8,3360,Water supply,2: Good,-73.583897,42.867651
2161,Jackman Dam,North Branch of Contoocook River,New Hampshire,1926,13,570,1.86,15.3,1517,Hydroelectricity,2: Good,-71.949506,43.109775
2162,Peck Lake Dam,Peck Creek,New York,1982,12,280,5.47,36.8,1349,Recreation,2: Good,-74.435337,43.102602
2163,Winnies Reef Dam,Fish Creek,New York,1979,16,180,16.96,124.2,10907,Recreation,2: Good,-73.637262,43.10107
2164,Dollof Dam,Pawtuckaway River,New Hampshire,1842,9,126,2.45,14.4,1286,Recreation,2: Good,-71.153742,43.073524
2158,Hopkinton Flood Control Dam,Contoocook River,New Hampshire,1959,23,240,1.81,193.7,20301,Flood control,2: Good,-71.747262,43.188119
2153,Stewarts Bridge,Sacandaga River,New York,1952,34,567,1.52,26.4,67669,Hydroelectricity,2: Good,-73.886836,43.296474
2156,Bow Lake,Isinglass River,New Hampshire,1832,7,107,4.33,27.6,872,Recreation,2: Good,-71.156737,43.240817
2150,Milton Three Ponds Dam,Salmon Falls River,New Hampshire,1924,6,48,4.25,18.5,7379,Recreation,2: Good,-70.984574,43.416465
2151,Second Dam,Sugar River,New Hampshire,1932,5,24,15.77,50.4,2258,Recreation,2: Good,-72.079582,43.386478
2152,Conklingville,Sacandaga River,New York,1930,28,335,97.56,976.9,67155,Hydroelectricity,2: Good,-73.924609,43.318878
2148,Merrymeeting Lake Dam,Merrymeeting River,New Hampshire,1923,7,87,4.73,27.1,746,Recreation,2: Good,-71.178125,43.478266
2077,Meddybemps Dam,Dennys River,Maine,1973,3,17,26.68,23.4,2854,Recreation,2: Good,-67.355237,45.040509
2080,Aziscohos,Magalloway River,Maine,1911,23,269,25.71,396.2,11629,Hydroelectricity,2: Good,-70.993684,44.947978
2073,Clifford,Clifford Stream,Maine,1971,6,76,5.92,12.6,1349,Hydroelectricity,2: Good,-67.690625,45.09288
2074,First Connecticut Lake Dam,Connecticut River,New Hampshire,1930,17,340,10.67,140.6,4905,Flood control,2: Good,-71.287943,45.089488
2076,Murphy Dam,Connecticut River,New Hampshire,1940,36,671,6.41,162,9866,Recreation,2: Good,-71.379579,45.046543
2069,Woodland Dam,St. Croix,Maine,1906,14,466,4.73,22.7,69571,Hydroelectricity,2: Good,-67.403396,45.160159
2070,Second Connecticut Lake Dam,Connecticut River,New Hampshire,1935,9,173,3.77,15.4,2564,Flood control,2: Good,-71.176068,45.146269
2072,Upper Station Dam,Kennebago River,Maine,1932,5,71,7.23,16.8,5620,Hydroelectricity,2: Good,-70.763478,45.110675
2067,Flagstaff,Dead River,Maine,1948,13,411,63.32,536.6,26264,Hydroelectricity,2: Good,-70.200638,45.221505
2062,Moxie Dam,Moxie Stream,Maine,1925,6,312,9.49,43.2,4963,Hydroelectricity,2: Good,-69.872342,45.350594
2063,Schoodic Lake Dam,Schoodic Stream,Maine,1929,3,169,27.46,27.1,2208,Hydroelectricity,2: Good,-68.903908,45.326247
2057,Mattaceunk,Penobscot River,Maine,1939,14,357,6.5,85.2,172505,Hydroelectricity,2: Good,-68.40812,45.570528
2058,Vanceboro,St. Croix River,Maine,1967,5,143,68.09,264.5,22306,Hydroelectricity,2: Good,-67.425939,45.56989
2059,Indian Pond,Kennebago River,Maine,1955,50,614,12.66,133.2,69655,Hydroelectricity,2: Good,-69.864533,45.461484
2053,North Twin,West Branch of Penobscot River,Maine,1934,11,320,78.48,484.4,95606,Hydroelectricity,2: Good,-68.782535,45.634125
2054,Dolby,West Branch of Penobscot River,Maine,1906,20,425,10.02,69.4,107124,Hydroelectricity,2: Good,-68.607909,45.632667
2056,Moosehead Lake East Dam,Kennebago River,Maine,1835,6,306,299.57,1726.9,64705,Hydroelectricity,2: Good,-69.716999,45.585115
2050,Forest City,East Branch of St. Croix River,Maine,1949,5,152,63.34,139.8,7255,Hydroelectricity,2: Good,-67.735452,45.659837
2051,Brassua,Moose River,Maine,1927,15,539,29.08,349.1,34095,Hydroelectricity,2: Good,-69.812207,45.65888
2109,Comerford,Connecticut River,New Hampshire,1930,52,681,3.69,39.8,94843,Hydroelectricity,2: Good,-72.000224,44.326847
2106,Waterbury,Little River,Vermont,1938,57,649,2.84,108.5,6788,Flood control,2: Good,-72.767708,44.382775
2108,Marshfield 6,Mollys Brook,Vermont,1927,15,335,1.34,16.7,1044,Hydroelectricity,2: Good,-72.304678,44.362214
2101,Union Falls,Saranac River,New York,1905,7,158,5.27,12.7,17488,Hydroelectricity,2: Good,-73.913542,44.504973
2102,Blake Falls,Raquette River,New York,1957,18,686,2.4,15.6,57879,Hydroelectricity,2: Good,-74.747661,44.501683
2100,Rainbow Falls,Raquette River,New York,1956,25,816,2.32,15,59063,Hydroelectricity,2: Good,-74.819792,44.515667
2093,Green River Dam,Green River,Vermont,1947,34,98,2.1,21,866,Hydroelectricity,2: Good,-72.530467,44.627695
2094,Graham Lake Dam,Union River,Maine,1924,13,192,35.7,178.9,28879,Hydroelectricity,2: Good,-68.442438,44.589214
